model,event_id,forecast_mean,outcome,brier
gpt-5,treas_3pct_no,0.0,0.0,0.0
gpt-5,treas_3pct_yes,1.0,1.0,0.0
gpt-5,trump_remains_president_eoy_2018,1.0,1.0,0.0
gpt-5,trump_signs_eo_2017,1.0,1.0,0.0
gpt-5,trumphi_2018_strike,0.0,0.0,0.0
gpt-5,trumphi_2018_uphold,1.0,1.0,0.0
gpt-5,ucl_2024_dortmund,0.05,0.0,0.0025000000000000005
gpt-5,ucl_2024_real,1.0,1.0,0.0
gpt-5,ucl_final_2017_juve,0.0,0.0,0.0
gpt-5,ucl_final_2017_real,1.0,1.0,0.0
gpt-5,ue_2017_above_3,0.999,1.0,1.0000000000000019e-06
gpt-5,ue_2017_above_4,0.999,1.0,1.0000000000000019e-06
gpt-5,ue_2017_above_5,0.0,0.0,0.0
gpt-5,ue_2017_above_6,0.0,0.0,0.0
gpt-5,uk_2024_conservative,0.0,0.0,0.0
gpt-5,uk_2024_labour,1.0,1.0,0.0
gpt-5,uk_snap_2017_con_majority,0.0,0.0,0.0
gpt-5,uk_snap_2017_lab_majority,0.002,0.0,4e-06
gpt-5,us_2024_harris,0.43100000000000005,0.0,0.18576100000000004
gpt-5,us_2024_margin_neg5,0.45699999999999996,1.0,0.294849
gpt-5,us_2024_margin_pos10,0.010799999999999999,0.0,0.00011663999999999998
gpt-5,us_2024_margin_pos2,0.289,0.0,0.08352099999999998
gpt-5,us_2024_margin_pos5,0.09200000000000001,0.0,0.008464000000000003
gpt-5,us_2024_trump,0.771,1.0,0.052440999999999995
gpt-5,usopen_2017_anderson,0.0,0.0,0.0
gpt-5,usopen_2017_nadal,1.0,1.0,0.0
gpt-5,wc_final_2018_croatia,0.0,0.0,0.0
gpt-5,wc_final_2018_france,1.0,1.0,0.0
gpt-5,wcfinal_2018_goals_2,1.0,1.0,0.0
gpt-5,wcfinal_2018_goals_4,1.0,1.0,0.0
gpt-5,wcfinal_2018_goals_6,1.0,1.0,0.0
gpt-5,wcfinal_2018_goals_8,0.0009000000000000001,0.0,8.100000000000002e-07
gpt-5,wimb_2017_cilic,0.0,0.0,0.0
gpt-5,wimb_2017_federer,0.9349999999999999,1.0,0.004225000000000007
gpt-5,wimb_2018_kerber,1.0,1.0,0.0
gpt-5,wimb_2018_serena,0.0,0.0,0.0
gpt-5,wimbledon_2017_cilic,0.0,0.0,0.0
gpt-5,wimbledon_2017_federer,1.0,1.0,0.0
gpt-5,wimbledon_2018_anderson,0.0,0.0,0.0
gpt-5,wimbledon_2018_djokovic,1.0,1.0,0.0
gpt-5,ws_2018_dodgers,0.0,0.0,0.0
gpt-5,ws_2018_redsox,1.0,1.0,0.0
gpt-5,ws_2023_dbacks,0.0,0.0,0.0
gpt-5,ws_2023_rangers,1.0,1.0,0.0
gpt-5,ws_2024_dodgers,0.182,1.0,0.669124
gpt-5,ws_2024_yankees,0.11299999999999999,0.0,0.012768999999999997
